factor,orig_mean,orig_sharpe,orig_tstat,orig_ar1,SB_mean_ci_lower,SB_mean_ci_upper,SB_mean_ci_width,SB_sharpe_ci_lower,SB_sharpe_ci_upper,SB_sharpe_ci_width,SB_tstat_ci_lower,SB_tstat_ci_upper,SB_tstat_ci_width,CBB_mean_ci_lower,CBB_mean_ci_upper,CBB_mean_ci_width,CBB_sharpe_ci_lower,CBB_sharpe_ci_upper,CBB_sharpe_ci_width,CBB_tstat_ci_lower,CBB_tstat_ci_upper,CBB_tstat_ci_width,MBB_mean_ci_lower,MBB_mean_ci_upper,MBB_mean_ci_width,MBB_sharpe_ci_lower,MBB_sharpe_ci_upper,MBB_sharpe_ci_width,MBB_tstat_ci_lower,MBB_tstat_ci_upper,MBB_tstat_ci_width
total_mv,0.018400488348499174,0.24883522567534966,3.8307696067821437,0.031123936191994883,0.00813497840438371,0.027814874075929693,0.01967989567154598,0.11115611831808424,0.387512334813237,0.27635621649515274,1.7112266902932278,5.96567656539309,4.254449875099862,0.009437666980028157,0.02738401578417149,0.017946348804143333,0.1282183638824115,0.39017309814559786,0.2619547342631864,1.9738966219875218,6.006638496232202,4.03274187424468,0.010476812896877172,0.028944103124386417,0.018467290227509245,0.14591472708796924,0.41517161763044125,0.26925689054247204,2.2463286706833667,6.3914858119495905,4.145157141266224
net_profit_to_total_mktcap_ttm,0.0009978017232225534,0.014111327048615157,0.21724111858553785,-0.016028877007966142,-0.006488177391670747,0.00959199090190658,0.016080168293577328,-0.08881445112834647,0.14863617757123074,0.23745062869957723,-1.3672810957617232,2.288224868335231,3.655505964096954,-0.006248009135601653,0.009009924635702408,0.01525793377130406,-0.08409367411449933,0.13543112664444337,0.2195248007589427,-1.2946056574030258,2.084935693303617,3.379541350706643,-0.007592178290771413,0.00683155334964756,0.014423731640418973,-0.10696104523753214,0.10028731626169533,0.20724836149922748,-1.6466443611169896,1.543903609460342,3.190547970577332
book_value_to_total_mktcap_mrq,0.006866059098510152,0.08683126233625535,1.3367502923811538,-0.05514767142419446,-0.003082266465418587,0.016751136482208894,0.01983340294762748,-0.041226361666004525,0.21763498869380227,0.2588613503598068,-0.6346717706052799,3.3504480637653664,3.9851198343706464,-0.0031199686385515865,0.01695473269437789,0.020074701332929476,-0.03801413198700782,0.21744474328987012,0.25545887527687794,-0.5852201232715595,3.3475192729993672,3.932739396270927,-0.003229025267333055,0.01587885957363075,0.019107884840963804,-0.04374571145139977,0.20782964430220766,0.25157535575360745,-0.6734566675608934,3.1994967055828285,3.872953373143722
net_cash_flow_to_total_mktcap_ttm,0.002645627001928618,0.053404769064293534,0.8221559694109715,-0.0012106925431615784,-0.002824112836647992,0.008534656896873962,0.011358769733521954,-0.05916204479584167,0.17151107151945955,0.2306731163153012,-0.9107881027048864,2.6403793844710077,3.5511674871758943,-0.0027334440315452267,0.008520273390895004,0.01125371742244023,-0.05883325801190002,0.1678324480509337,0.2266657060628337,-0.9057264945036482,2.583747696012197,3.4894741905158453,-0.0039038964631601357,0.00742226123691135,0.011326157700071487,-0.08238972857107961,0.140125442032025,0.2225151706031046,-1.2683737491929703,2.157203760104011,3.425577509296981
net_profit_to_book_value_ttm,0.002401338548915185,0.033822410187346684,0.5206893864088536,0.024280001605560323,-0.005285323987980264,0.010481001061079681,0.015766325049059945,-0.07436172595035956,0.1711161402512227,0.24547786620158227,-1.1447842197798597,2.634299494877308,3.7790837146571676,-0.005729611850223975,0.009737653221847956,0.015467265072071931,-0.07605669604115706,0.15849928584706077,0.23455598188821783,-1.1708779526531268,2.4400654902122407,3.6109434428653673,-0.0068907759966551855,0.008762765543326662,0.015653541539981847,-0.09619658620106442,0.13637831817182505,0.23257490437288947,-1.480927620657775,2.0995175215196475,3.580445142177423
total_vol_21,0.005284280167224099,0.073435268470844,1.1305215881734543,-0.05046138206157756,-0.003170036244337148,0.014530512186526581,0.01770054843086373,-0.04391853193640727,0.20112491661809345,0.24504344855450072,-0.6761172051097845,3.0962787348781293,3.7723959399879137,-0.004018948410134687,0.014484232779641195,0.018503181189775883,-0.055682177514047665,0.20633145629426156,0.2620136338083092,-0.8572162268478717,3.1764323943684136,4.033648621216285,-0.005297144484683117,0.013382075167832823,0.01867921965251594,-0.07583105525740504,0.19181564389399527,0.2676466991514003,-1.1674042569410277,2.9529643029445705,4.120368559885598
max_plus_21,0.007304645142438129,0.10393265165089963,1.6000228344518643,0.012784165764667428,-0.00023036115819573011,0.015740729771073828,0.015971090929269557,-0.0034291111925838207,0.2345256855435393,0.23795479673612313,-0.05279049579565966,3.610477036567481,3.6632675323631405,-0.0012795973965309116,0.01626392683576956,0.017543524232300472,-0.018467994677506004,0.23886940356713895,0.25733739824464497,-0.28431116421236163,3.677347725554847,3.9616588897672087,-0.0026457812431520678,0.013790583365557222,0.01643636460870929,-0.037947509812466605,0.202572404085443,0.2405199138979096,-0.5841944879312353,3.118562521191225,3.70275700912246
momentum_21,0.010067773350784227,0.14297140847233525,2.2010168565491517,-0.023243208767951617,0.002252311279947478,0.01736585109668388,0.015113539816736403,0.028900739537692906,0.26876113918391065,0.23986039964621775,0.4449212298381132,4.137525146110621,3.6926039162725073,0.002605691592625265,0.018153237091916297,0.015547545499291032,0.03474510459540893,0.28248703011726867,0.24774192552185975,0.5348940862665991,4.348832551124554,3.8139384648579546,0.0019614753918628753,0.018359033856783388,0.01639755846492051,0.025756154680126996,0.27377081327460906,0.24801465859448207,0.39651096129346897,4.214648098435584,3.8181371371421147
turnover_252,0.006468103543703294,0.08296680370806239,1.2772577080038,0.008698424694448342,-0.0017371423075248807,0.014716857366202457,0.016453999673727338,-0.021550227839516108,0.20188827060062678,0.22343849844014288,-0.33176154060500757,3.108030420064855,3.439791960669863,-0.0017893918503383746,0.014769785906344429,0.016559177756682805,-0.02437072685313755,0.19327537545295254,0.21764610230609008,-0.3751825709997824,2.9754365846520248,3.350619155651807,-0.002862469894062392,0.01447921090742774,0.017341680801490133,-0.03778083779570656,0.18497404854980062,0.2227548863455072,-0.5816286048478713,2.8476392813954248,3.429267886243296
abnormal_turnover_21,0.010704964462552369,0.16342379637433552,2.515877366143244,0.0034920359985964114,0.004400567910176309,0.016576653015102513,0.012176085104926205,0.060934098794068026,0.2933766495051813,0.23244255071111325,0.9380685272491144,4.516476110702677,3.5784075834535627,0.004215341430554376,0.01713671012515576,0.012921368694601384,0.056356830977020794,0.30085000970826653,0.24449317873124574,0.8676023848930339,4.631527028629649,3.7639246437366154,0.003993284095610307,0.017104426745190953,0.013111142649580645,0.05744644774299796,0.28917258331175416,0.2317261355687562,0.8843768217872356,4.451755334313516,3.5673785125262802
asset_growth_mrq,0.0032146136453401804,0.06635604462273662,1.0215383223061107,-0.014640876348440326,-0.0019708210852898834,0.00848232407302001,0.010453145158309893,-0.04263547624111256,0.17759371678099556,0.2202291930221081,-0.6563648137511899,2.734020518010237,3.390385331761427,-0.002177817209611287,0.008437722490136095,0.010615539699747382,-0.04424282102125052,0.17672066066588643,0.22096348168713695,-0.6811095721135201,2.7205799899592016,3.401689562072722,-0.0017685936345646523,0.008462478156242778,0.010231071790807431,-0.03751954485653859,0.16848011511150315,0.20599965996804176,-0.577606051179616,2.5937184036730985,3.1713244548527144
accrual_to_asset_ttm,0.002089774584057004,0.05021854171811483,0.7731046229028042,-0.031246542123099578,-0.002361844921192003,0.0065813026322150605,0.008943147553407063,-0.056541604863179856,0.16725196766454023,0.22379357252772009,-0.8704469427135921,2.5748113140530346,3.4452582567666266,-0.002496416203074003,0.006983714080172015,0.009480130283246018,-0.05935410885936961,0.1703448649654988,0.22969897382486842,-0.9137448913794844,2.6224258627780164,3.5361707541575007,-0.0029569914517831508,0.006634551953319925,0.009591543405103077,-0.0703539472760966,0.16589020211652075,0.23624414939261734,-1.0830852513383624,2.553847199913817,3.6369324512521795
net_operating_asset_to_asset_mrq,0.00434730826272434,0.07877898877473347,1.2127871165837765,-0.027504950047912334,-0.001560011904002717,0.010758150063047322,0.012318161967050038,-0.026916175090554394,0.2228717710471589,0.2497879461377133,-0.4143692485172799,3.4310673033530312,3.845436551870311,-0.0018880198757545014,0.010242785303400047,0.012130805179154549,-0.03274832644968335,0.20990218439717276,0.2426505108468561,-0.5041540774460145,3.231403054786731,3.7355571322327457,-0.00291620554967786,0.00956746909315373,0.01248367464283159,-0.04739125998575092,0.1822172775200465,0.2296085375057974,-0.7295791738802428,2.8051993308418885,3.5347785047221314
illiq_252,0.007455519373903809,0.11140930273932038,1.7151244149146105,0.046674834637716905,-0.0012343267338890468,0.01575271875775276,0.016987045491641806,-0.018191203751031858,0.2308224552284647,0.24901365897949657,-0.2800500220621999,3.55346653052116,3.83351655258336,-0.00015581263661927996,0.014981182225149445,0.015136994861768725,-0.0025809741333833224,0.2206410562969637,0.22322203043034702,-0.03973359173413509,3.3967258862837393,3.4364594780178743,0.0011771902900759889,0.01627990715000847,0.015102716859932482,0.020085953262093694,0.2469080566047793,0.2268221033426856,0.30921932001726854,3.8011012160523547,3.4918818960350864
gross_profit_to_asset_q_trend,0.0001331542936082175,0.0036114845145935695,0.05559809740088548,-0.1741819764293626,-0.00365478434292005,0.0041221234252944985,0.007776907768214549,-0.10335739763263929,0.10355323535588351,0.2069106329885228,-1.5911669114074072,1.5941817948349015,3.1853487062423085,-0.0034681709682155663,0.0040077540756820115,0.007475925043897578,-0.09767911344954334,0.10267212956774542,0.20035124301728877,-1.5037508375447166,1.580617343642758,3.0843681811874744,-0.0030061065035348884,0.004401298689043401,0.007407405192578289,-0.08380938692817436,0.1095564769835012,0.19336586391167554,-1.2902291117993412,1.6866005249677924,2.9768296367671336
net_cash_flow_to_revenue_ttm,0.002162264549767633,0.04631211685449754,0.7129659765431158,-0.06901690493021248,-0.003973256567589847,0.008035756504055757,0.012009013071645605,-0.08830730640507659,0.16830688133183244,0.256614187736909,-1.359473701985904,2.591051503533742,3.950525205519646,-0.0038922851398325727,0.008509050263454393,0.012401335403286966,-0.0875919150332522,0.17410614029966845,0.2616980553329207,-1.3484603918056384,2.680329960534959,4.0287903523405975,-0.0033310715628959977,0.009633409245660182,0.01296448080855618,-0.07641310579277723,0.19542993822389906,0.2718430440166763,-1.1763648110364682,3.0086056569023283,4.184970467938797
ebit_to_tangible_capital_ttm,0.000590843185688025,0.011975482562520345,0.1843602106677014,0.06318938291527225,-0.004703943578459053,0.005544427314560403,0.010248370893019457,-0.11401183534869708,0.11261573437644408,0.22662756972514114,-1.7551898951680651,1.733697193891585,3.4888870890596504,-0.004572775469895194,0.00570545885783173,0.010278234327726924,-0.09515208243104695,0.11629762982569583,0.21144971225674278,-1.4648476895085873,1.7903792538534047,3.255226943361992,-0.0038135960814161584,0.00650285655374329,0.01031645263515945,-0.07754563130477342,0.13040802067909682,0.20795365198387022,-1.193799819679178,2.0076059598968166,3.2014057795759943
return_on_invested_capital_ttm,0.00034413509202196234,0.005841179035969974,0.08992380824715143,0.09119399015180249,-0.006734296557331524,0.008301922003273319,0.015036218560604843,-0.12232579911350683,0.13272803050176255,0.25505382961526935,-1.883181740437086,2.043322057133384,3.9265037975704704,-0.007844083557994107,0.008561613328359292,0.016405696886353398,-0.14284784761528016,0.1375127172099597,0.28036056482523986,-2.199114661333382,2.116981372730644,4.316096034064026,-0.007529624420182198,0.009522960894055285,0.017052585314237482,-0.1401446592149992,0.14949034795006763,0.28963500716506685,-2.1574996048754485,2.3013746541719473,4.458874259047396
return_on_net_operating_asset_ttm,0.0017149102582966775,0.03010366224943665,0.4634399895954958,-0.02153884864528593,-0.004779845713236017,0.007595626177049006,0.012375471890285022,-0.08118970121057094,0.13710096442425665,0.21829066563482757,-1.2498995628012848,2.110642519167214,3.360542081968499,-0.004363130788042877,0.008378705497369696,0.012741836285412573,-0.07898939131681725,0.15635116388916812,0.23534055520598535,-1.2160262225472378,2.4069955730185524,3.62302179556579,-0.004111112574328856,0.008302293686625632,0.012413406260954489,-0.0730165023998515,0.15628881333289774,0.22930531573274923,-1.1240747664553643,2.4060356984056304,3.5301104648609947
gross_profit_to_asset_ttm,0.0029659455263619577,0.05119154135005569,0.7880837618383515,-0.041100179719213724,-0.0039639358816668715,0.009586782378168943,0.013550718259835814,-0.07408354669995033,0.1625917483522318,0.23667529505218216,-1.1405017046543866,2.5030681496594944,3.6435698543138813,-0.003703323509097925,0.010679712572750756,0.01438303608184868,-0.06781359226789557,0.18626575086413874,0.2540793431320343,-1.0439769830879913,2.8675247857622073,3.9115017688501985,-0.002428819341828314,0.010905592118263351,0.013334411460091665,-0.04193645746987963,0.1893264147575199,0.23126287222739955,-0.645603556553212,2.9146431074850208,3.5602466640382326
deflated_gross_profit_to_asset_ttm,0.0013782917405401342,0.021958433460742874,0.33804578626544024,0.056606821189802696,-0.007144471910458065,0.0102460323895556,0.017390504300013664,-0.1083844159075348,0.19048608992205673,0.2988705058295915,-1.668556874054146,2.9324960797159045,4.601052953770051,-0.006953068514241594,0.009149346500759,0.016102415015000593,-0.11113913666749389,0.16325731995602244,0.2743964566235163,-1.710965261105387,2.5133144942596957,4.224279755365083,-0.00806900150318767,0.008252491114117199,0.016321492617304867,-0.12765747251571774,0.1433399240797598,0.2709973965954775,-1.9652618091534244,2.2066900822137074,4.171951891367132
operating_profit_to_book_value_ttm,0.0038540186243133027,0.05318119055422998,0.8187140219987566,0.00683455817027743,-0.004051933118953745,0.011769305309960778,0.015821238428914523,-0.054594970919666676,0.18762237017574396,0.24221734109541063,-0.8404788940737669,2.8884096745988512,3.728888568672618,-0.0045041098700959355,0.011675695507044125,0.01617980537714006,-0.06057682159858161,0.18125050985279578,0.2418273314513774,-0.9325683147371955,2.7903161317832654,3.722884446520461,-0.005920278717631732,0.01000344469472121,0.01592372341235294,-0.08057406145024801,0.14978440690250044,0.23035846835274845,-1.240421909160523,2.305901634202707,3.54632354336323
cash_based_operating_profit_to_asset_ttm,0.0005194605353031011,0.010430333539059552,0.16057294380884732,0.08503669990845426,-0.006605420858653065,0.007153184411886412,0.013758605270539476,-0.15320381340536693,0.13534549723355171,0.28854931063891864,-2.358542728199198,2.083617445279045,4.442160173478243,-0.00615315597428421,0.00723663804886265,0.01338979402314686,-0.14086676196696785,0.13684351452488455,0.2777102764918524,-2.1686162354397416,2.1066791283446045,4.2752953637843465,-0.005966737113214962,0.008265726276618165,0.014232463389833128,-0.1355117544522734,0.15510352386434528,0.2906152783166187,-2.0861769426277768,2.387788398976675,4.473965341604451
abnormal_capital_investment_ttm,1.426427465937319e-05,0.00043348844833627316,0.006673469836398047,0.007547668926891042,-0.0033104569007576952,0.0032499853527693688,0.006560442253527064,-0.10250181790661347,0.10949072052660155,0.21199253843321503,-1.5779954289465006,1.6855882171811551,3.263583646127656,-0.00344129005664019,0.0033165427156365613,0.006757832772276751,-0.10137277688427727,0.10599219681210062,0.2073649736963779,-1.560614063340255,1.631729129193339,3.1923431925335937,-0.003659907699321266,0.003379904421536926,0.007039812120858192,-0.10748154780976828,0.10940340429691349,0.21688495210668177,-1.6546573963637579,1.6842440009112922,3.33890139727505
